record_id,anomaly_category,anomaly_dollars
14836,negative_net_pay,0.0
10869,pay_after_termination,0.0
8920,department_payroll_spike,4207.73
8404,negative_net_pay,0.0
16060,negative_net_pay,0.0
3178,incorrect_pay_rate,6431.27
10717,missing_deduction,0.0
254,gross_pay_spike,11944.88
9708,new_employee_large_payment,10193.46
4095,duplicate_payment,3759.16
14516,retro_pay_outlier,5001.92
14897,overtime_spike,6175.44
11558,missing_deduction,0.0
7037,department_payroll_spike,3591.64
3969,missing_deduction,0.0
5597,incorrect_pay_rate,3104.8
6479,new_employee_large_payment,7297.25
581,retro_pay_outlier,4851.41
4608,duplicate_payment,5723.03
1706,pay_after_termination,0.0
9638,missing_deduction,0.0
16080,department_payroll_spike,3235.04
15224,gross_pay_spike,9745.15
13051,overtime_spike,2019.68
8723,pay_after_termination,0.0
16259,retro_pay_outlier,4736.15
13339,pay_after_termination,0.0
1186,gross_pay_spike,10226.2
2704,new_employee_large_payment,7102.72
12774,new_employee_large_payment,6506.12
4949,missing_deduction,0.0
10713,incorrect_pay_rate,1610.69
15159,department_payroll_spike,5848.15
1778,pay_after_termination,0.0
14669,department_payroll_spike,4197.07
12290,incorrect_pay_rate,4661.46
4227,negative_net_pay,0.0
15197,missing_deduction,0.0
8399,department_payroll_spike,2193.33
6135,pay_after_termination,0.0
11488,gross_pay_spike,11280.09
1624,incorrect_pay_rate,2335.29
6562,negative_net_pay,0.0
7970,overtime_spike,223329.23
5998,gross_pay_spike,8859.47
1479,duplicate_payment,1624.21
14694,missing_deduction,0.0
16464,retro_pay_outlier,7909.18
7763,negative_net_pay,0.0
373,new_employee_large_payment,4783.44
8311,overtime_spike,1471.57
12074,department_payroll_spike,2831.63
14239,gross_pay_spike,7667.17
13979,overtime_spike,234727.5
7561,overtime_spike,2287.43
5958,duplicate_payment,4898.51
2701,gross_pay_spike,10988.05
9490,retro_pay_outlier,5537.87
11232,new_employee_large_payment,5175.53
11770,missing_deduction,0.0
12724,retro_pay_outlier,5556.8
12176,duplicate_payment,4992.37
5861,department_payroll_spike,5858.33
3290,incorrect_pay_rate,2508.85
14524,new_employee_large_payment,5856.26
1493,negative_net_pay,0.0
3069,overtime_spike,205703.93
4455,pay_after_termination,0.0
11698,duplicate_payment,6549.68
11299,retro_pay_outlier,6268.27
10945,negative_net_pay,0.0
16186,duplicate_payment,2364.35
11377,overtime_spike,236370.22
15978,department_payroll_spike,6350.77
7965,incorrect_pay_rate,3574.64
7622,incorrect_pay_rate,2443.94
12805,duplicate_payment,4050.94
4799,department_payroll_spike,3983.67
15199,incorrect_pay_rate,3790.1
8068,duplicate_payment,4229.11
3068,department_payroll_spike,3599.57
5296,negative_net_pay,0.0
9249,incorrect_pay_rate,837.83
13485,negative_net_pay,0.0
5575,gross_pay_spike,5098.96
5979,gross_pay_spike,10776.5
4939,retro_pay_outlier,6846.19
8371,department_payroll_spike,4243.9
1322,incorrect_pay_rate,1853.12
3727,gross_pay_spike,4315.88
9142,missing_deduction,0.0
14386,pay_after_termination,0.0
12040,overtime_spike,3256.05
166,gross_pay_spike,8432.0
8604,pay_after_termination,0.0
11525,overtime_spike,2931.08
6883,incorrect_pay_rate,3840.98
16053,gross_pay_spike,8865.33
1306,negative_net_pay,0.0
4649,overtime_spike,289751.7
15000,incorrect_pay_rate,2516.91
3652,retro_pay_outlier,6534.84
13996,overtime_spike,2117.32
10256,overtime_spike,2285.33
12304,negative_net_pay,0.0
13310,missing_deduction,0.0
13301,retro_pay_outlier,6349.28
14914,overtime_spike,3094.35
874,incorrect_pay_rate,2477.97
5808,incorrect_pay_rate,2408.61
16335,negative_net_pay,0.0
12668,retro_pay_outlier,6446.84
9517,negative_net_pay,0.0
755,missing_deduction,0.0
10259,missing_deduction,0.0
9774,department_payroll_spike,4702.88
2741,negative_net_pay,0.0
14330,negative_net_pay,0.0
8094,incorrect_pay_rate,1796.48
14620,department_payroll_spike,3221.76
9414,gross_pay_spike,8763.03
3137,negative_net_pay,0.0
6535,new_employee_large_payment,3982.78
12147,duplicate_payment,5269.68
15180,incorrect_pay_rate,771.26
2501,department_payroll_spike,4902.14
10607,incorrect_pay_rate,2462.01
24,negative_net_pay,0.0
10084,gross_pay_spike,7308.15
12247,new_employee_large_payment,6584.68
6880,incorrect_pay_rate,3107.28
732,new_employee_large_payment,5281.82
12248,gross_pay_spike,10173.55
5401,incorrect_pay_rate,3515.97
1463,gross_pay_spike,5040.02
42,pay_after_termination,0.0
5389,pay_after_termination,0.0
332,incorrect_pay_rate,1892.02
5440,incorrect_pay_rate,4540.2
890,incorrect_pay_rate,4332.23
726,department_payroll_spike,3640.83
6267,incorrect_pay_rate,2442.79
850,duplicate_payment,3501.05
10353,duplicate_payment,4800.14
994,missing_deduction,0.0
10583,missing_deduction,0.0
9950,gross_pay_spike,8759.88
2134,incorrect_pay_rate,4733.96
13665,new_employee_large_payment,8517.05
9145,overtime_spike,384627.07
5670,missing_deduction,0.0
9914,negative_net_pay,0.0
15029,duplicate_payment,3640.39
8215,department_payroll_spike,5176.5
2835,overtime_spike,2722.12
10850,pay_after_termination,0.0
9967,new_employee_large_payment,7077.88
212,pay_after_termination,0.0
5735,department_payroll_spike,5150.84
6354,negative_net_pay,0.0
14840,overtime_spike,231189.0
1726,retro_pay_outlier,5995.75
5753,department_payroll_spike,3566.93
7693,new_employee_large_payment,12397.85
4821,incorrect_pay_rate,2890.22
175,missing_deduction,0.0
4671,department_payroll_spike,4845.27
1294,missing_deduction,0.0
11444,incorrect_pay_rate,3207.98
10247,overtime_spike,2285.33
1112,negative_net_pay,0.0
16343,new_employee_large_payment,3771.18
2760,retro_pay_outlier,5289.92
1203,negative_net_pay,0.0
13118,gross_pay_spike,11594.68
12895,gross_pay_spike,9830.83
15997,new_employee_large_payment,4901.06
13432,new_employee_large_payment,5345.2
13139,duplicate_payment,3707.93
6008,pay_after_termination,0.0
1659,missing_deduction,0.0
7613,duplicate_payment,4386.61
5743,duplicate_payment,4202.81
15187,incorrect_pay_rate,1338.15
4673,retro_pay_outlier,4498.94
